Country or region,Overall rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Population,Median agein years,Life expectancyin years,GDP,Population under 20 years old in %
Finland,1,7.809,1.285,1.5,0.961,0.662,0.16,0.478,5540720.0,42.8,81.9,7119825.199999999,21.2
Denmark,2,7.646,1.327,1.503,0.979,0.665,0.243,0.495,5792202.0,42.0,81.3,7686252.054,22.1
Switzerland,3,7.56,1.391,1.472,1.041,0.629,0.269,0.408,8654622.0,42.7,83.8,12038579.202,19.9
Iceland,4,7.504,1.327,1.548,1.001,0.662,0.362,0.145,341243.0,37.1,82.6,452829.461,25.7
Norway,5,7.488,1.424,1.495,1.008,0.67,0.288,0.434,5421241.0,39.5,82.9,7719847.183999999,23.2
Netherlands,6,7.449,1.339,1.464,0.976,0.614,0.336,0.369,17134872.0,42.8,82.1,22943593.608,21.6
Sweden,7,7.353,1.322,1.433,0.986,0.65,0.273,0.442,10099265.0,41.1,83.0,13351228.33,23.0
New Zealand,8,7.3,1.242,1.487,1.008,0.647,0.326,0.461,4822233.0,,,5989213.386,
Austria,9,7.294,1.317,1.437,1.001,0.603,0.256,0.281,9006398.0,44.5,81.9,11861426.166,19.4
Luxembourg,10,7.238,1.537,1.388,0.986,0.61,0.196,0.367,625978.0,,,962128.186,
Canada,11,7.232,1.302,1.435,1.023,0.644,0.282,0.352,37742154.0,41.8,82.1,49140284.508,21.0
Australia,12,7.223,1.31,1.477,1.023,0.622,0.325,0.336,25499884.0,37.5,83.0,33404848.040000003,25.3
United Kingdom,13,7.165,1.273,1.458,0.976,0.525,0.373,0.323,67886011.0,40.6,81.3,86418892.00299999,23.1
Israel,14,7.129,1.216,1.403,1.008,0.421,0.267,0.1,8655535.0,,,10525130.56,
Costa Rica,15,7.121,0.981,1.375,0.94,0.645,0.131,0.096,5094118.0,32.6,80.3,4997329.757999999,28.0
Ireland,16,7.094,1.447,1.471,0.976,0.588,0.295,0.373,4937786.0,37.8,82.4,7144976.342,27.2
Germany,17,7.076,1.314,1.369,0.972,0.564,0.252,0.309,83783942.0,47.8,81.0,110092099.788,18.9
United States,18,6.94,1.374,1.405,0.832,0.535,0.298,0.152,331002651.0,38.5,78.9,454797642.47400004,24.8
Czech Republic,19,6.911,1.212,1.405,0.895,0.506,0.046,0.05,,,,,
Belgium,20,6.864,1.296,1.399,0.965,0.5,0.147,0.209,11589623.0,41.6,81.8,15020151.408,22.6
United Arab Emirates,21,6.791,1.431,1.251,0.788,0.653,0.281,0.22,9890402.0,,,14153165.262,
Malta,22,6.773,1.253,1.443,0.972,0.633,0.341,0.179,441543.0,42.3,82.6,553253.379,19.0
France,23,6.664,1.268,1.459,1.03,0.514,0.113,0.227,65273511.0,41.7,82.7,82766811.948,23.6
Mexico,24,6.465,1.024,1.226,0.832,0.554,0.083,0.083,128932753.0,29.3,75.1,132027139.072,34.5
Taiwan,25,6.455,1.327,1.358,0.878,0.449,0.151,0.132,23816775.0,,,31604860.425,
Uruguay,26,6.44,1.071,1.425,0.857,0.594,0.132,0.193,3473730.0,,,3720364.8299999996,
Saudi Arabia,27,6.406,1.334,1.31,0.76,0.548,0.087,0.163,34813871.0,30.8,75.1,46441703.914000005,31.1
Spain,28,6.401,1.231,1.421,1.051,0.426,0.165,0.11,46754778.0,43.9,83.6,57555131.718,19.2
Guatemala,29,6.399,0.754,1.174,0.706,0.613,0.171,0.098,17915568.0,23.2,74.3,13508338.272,44.2
Italy,30,6.387,1.236,1.347,1.023,0.321,0.17,0.04,60461826.0,46.5,83.3,74730816.936,17.7
Singapore,31,6.377,1.52,1.395,1.138,0.635,0.219,0.533,5850342.0,35.6,83.4,8892519.84,16.8
Brazil,32,6.376,0.953,1.363,0.766,0.483,0.132,0.107,212559417.0,33.2,76.0,202569124.401,28.3
Slovenia,33,6.363,1.209,1.465,0.933,0.647,0.146,0.077,2078938.0,44.9,81.4,2513436.0420000004,19.6
El Salvador,34,6.348,0.749,1.149,0.753,0.524,0.119,0.117,6486205.0,,,4858167.545,
Kosovo,35,6.325,0.84,1.184,0.673,0.557,0.325,0.009,,,,,
Panama,36,6.305,1.098,1.376,0.879,0.58,0.097,0.054,4314767.0,,,4737614.166,
Slovakia,37,6.281,1.195,1.424,0.853,0.424,0.117,0.011,5459642.0,41.8,77.6,6524272.19,20.4
Uzbekistan,38,6.258,0.697,1.434,0.717,0.693,0.363,0.28,33469203.0,,,23328034.490999997,
Chile,39,6.228,1.097,1.323,0.889,0.417,0.156,0.063,19116201.0,35.5,80.1,20970472.497,25.7
Bahrain,40,6.227,1.297,1.315,0.839,0.61,0.287,0.127,1701575.0,,,2206942.775,
Lithuania,41,6.215,1.194,1.433,0.795,0.42,0.054,0.081,2722289.0,44.5,76.6,3250413.0659999996,20.0
Trinidad and Tobago,42,6.192,1.168,1.407,0.659,0.553,0.199,0.015,1399488.0,,,1634601.984,
Poland,43,6.186,1.169,1.31,0.868,0.558,0.063,0.161,37846611.0,41.9,78.1,44242688.259,19.8
Colombia,44,6.163,0.932,1.334,0.81,0.527,0.092,0.046,50882891.0,,,47422854.412,
Cyprus,45,6.159,1.213,1.149,1.026,0.459,0.228,0.051,1207359.0,37.9,81.0,1464526.4670000002,22.7
Nicaragua,46,6.137,0.62,1.271,0.803,0.56,0.213,0.174,6624554.0,27.3,74.5,4107223.48,38.6
Romania,47,6.124,1.12,1.194,0.792,0.535,0.068,0.001,19237691.0,42.5,75.7,21546213.92,20.7
Kuwait,48,6.102,1.425,1.245,0.776,0.57,0.133,0.113,4270571.0,29.7,75.5,6085563.675,26.7
Mauritius,49,6.101,1.074,1.396,0.763,0.591,0.187,0.084,1271768.0,36.3,74.4,1365878.8320000002,24.2
Kazakhstan,50,6.058,1.123,1.453,0.699,0.497,0.154,0.11,18776707.0,31.6,73.2,21086241.961,35.1
Estonia,51,6.022,1.192,1.453,0.843,0.577,0.125,0.202,1326535.0,43.7,78.8,1581229.72,21.2
